target_name,time_point,salinity,fold_change,variance_sd
C3,0,0,1.96,0.11
C3,0,0,1.861,0.173
C3,0,0,1.841,0.144
C3,0,0,2.003,0.15
C3,0,0,1.779,0.111
C3,0,0,1.886,0.172
C3,0,0,1.965,0.169
C3,0,0,1.816,0.173
C3,0,0,2.023,0.192
C3,0,0,1.959,0.111
C3,0,0,1.733,0.153
C3,0,0,1.941,0.144
C3,0,0,1.931,0.111
C3,0,0,1.898,0.139
C3,0,0,1.983,0.148
C3,0,0,1.818,0.093
C3,6,0,1.911,0.108
C3,6,0,1.743,0.152
C3,6,0,1.81,0.095
C3,6,0,1.901,0.154
C3,6,0,1.904,0.126
C3,6,0,1.972,0.186
C3,6,0,1.787,0.094
C3,6,0,1.775,0.135
C3,6,0,2.006,0.17
C3,6,0,1.882,0.148
C3,6,0,1.868,0.166
C3,6,0,1.771,0.157
C3,6,0,1.894,0.126
C3,6,0,1.911,0.177
C3,6,0,1.749,0.118
C3,6,0,1.821,0.138
C3,6,0,1.883,0.116
C3,6,0,1.994,0.169
C3,6,0,1.961,0.125
C3,6,0,1.95,0.099
C3,12,0,2.192,0.196
C3,12,0,2.12,0.115
C3,12,0,2.092,0.16
C3,12,0,2.084,0.139
C3,12,0,2.19,0.177
C3,12,0,2.237,0.219
C3,12,0,2.066,0.132
C3,12,0,1.987,0.135
C3,12,0,2.08,0.177
C3,12,0,2.149,0.118
C3,12,0,2.008,0.168
C3,12,0,2.198,0.19
C3,12,0,1.908,0.189
C3,12,0,1.936,0.156
C3,12,0,1.963,0.135
C3,12,0,1.993,0.183
C3,12,0,1.932,0.156
C3,12,0,2.028,0.149
C3,12,0,1.917,0.156
C3,12,0,1.998,0.185
C3,12,0,2.228,0.18
C3,12,0,2.132,0.156
C3,24,0,1.872,0.153
C3,24,0,1.913,0.179
C3,24,0,1.944,0.119
C3,24,0,2.181,0.215
C3,24,0,1.849,0.181
C3,24,0,2.123,0.178
C3,24,0,2.103,0.141
C3,24,0,2.214,0.214
C3,24,0,1.902,0.134
C3,24,0,2.091,0.139
C3,24,0,1.997,0.154
C3,24,0,1.966,0.147
C3,24,0,2.046,0.179
C3,24,0,1.921,0.131
C3,24,0,2.093,0.124
C3,48,0,1.661,0.154
C3,48,0,1.671,0.163
C3,48,0,1.64,0.131
C3,48,0,1.9,0.185
C3,48,0,1.746,0.149
C3,48,0,1.626,0.155
C3,48,0,1.69,0.116
C3,48,0,1.894,0.144
C3,48,0,1.702,0.115
C3,48,0,1.78,0.109
C3,48,0,1.739,0.172
C3,48,0,1.753,0.175
C3,48,0,1.646,0.125
C3,48,0,1.749,0.124
C3,48,0,1.718,0.16
C3,48,0,1.827,0.109
C3,48,0,1.732,0.09
C3,48,0,1.882,0.141
C3,48,0,1.882,0.186
C3,48,0,1.785,0.1
C3,72,0,2.139,0.118
C3,72,0,1.895,0.161
C3,72,0,1.928,0.114
C3,72,0,1.972,0.162
C3,72,0,2.062,0.166
C3,72,0,1.99,0.19
C3,72,0,2.099,0.139
C3,72,0,1.937,0.129
C3,72,0,2.162,0.157
C3,72,0,2.112,0.2
C3,72,0,2.036,0.129
C3,72,0,1.935,0.176
C3,168,0,1.834,0.151
C3,168,0,2.072,0.141
C3,168,0,1.808,0.143
C3,168,0,1.91,0.099
C3,168,0,1.902,0.128
C3,168,0,2.026,0.15
C3,168,0,2.018,0.129
C3,168,0,2.039,0.18
C3,168,0,1.914,0.165
C3,168,0,1.93,0.143
C3,168,0,2.078,0.148
C3,168,0,2.017,0.113
C3,168,0,2.039,0.119
C3,168,0,1.841,0.153
C3,0,15,2.123,0.135
C3,0,15,2.136,0.185
C3,0,15,1.991,0.121
C3,0,15,2.036,0.167
C3,0,15,2.107,0.105
C3,0,15,2.088,0.186
C3,0,15,1.975,0.172
C3,0,15,1.861,0.184
C3,0,15,2.125,0.138
C3,0,15,1.915,0.174
C3,0,15,1.89,0.175
C3,0,15,2.146,0.15
C3,0,15,1.953,0.131
C3,0,15,1.983,0.134
C3,0,15,1.917,0.108
C3,0,15,1.984,0.13
C3,0,15,2.115,0.132
C3,6,15,2.016,0.106
C3,6,15,1.833,0.161
C3,6,15,1.873,0.159
C3,6,15,2.091,0.125
C3,6,15,2.067,0.122
C3,6,15,1.921,0.136
C3,6,15,1.906,0.18
C3,6,15,2.054,0.135
C3,6,15,1.956,0.189
C3,6,15,1.984,0.149
C3,6,15,1.938,0.103
C3,6,15,1.909,0.13
C3,6,15,1.879,0.104
C3,6,15,1.876,0.117
C3,6,15,2.057,0.138
C3,12,15,1.711,0.086
C3,12,15,1.659,0.093
C3,12,15,1.634,0.159
C3,12,15,1.783,0.112
C3,12,15,1.778,0.091
C3,12,15,1.663,0.145
C3,12,15,1.696,0.087
C3,12,15,1.652,0.139
C3,12,15,1.798,0.112
C3,12,15,1.805,0.128
C3,12,15,1.686,0.124
C3,12,15,1.711,0.096
C3,12,15,1.72,0.102
C3,12,15,1.82,0.148
C3,12,15,1.656,0.094
C3,12,15,1.787,0.141
C3,12,15,1.757,0.109
C3,12,15,1.771,0.15
C3,12,15,1.606,0.129
C3,12,15,1.625,0.118
C3,12,15,1.764,0.108
C3,24,15,1.463,0.102
C3,24,15,1.455,0.086
C3,24,15,1.441,0.126
C3,24,15,1.408,0.114
C3,24,15,1.506,0.099
C3,24,15,1.501,0.139
C3,24,15,1.484,0.076
C3,24,15,1.582,0.13
C3,24,15,1.451,0.145
C3,24,15,1.569,0.094
C3,24,15,1.408,0.082
C3,24,15,1.463,0.128
C3,24,15,1.427,0.109
C3,24,15,1.531,0.108
C3,24,15,1.499,0.099
C3,24,15,1.591,0.137
C3,24,15,1.397,0.114
C3,24,15,1.357,0.134
C3,24,15,1.537,0.1
C3,48,15,0.708,0.066
C3,48,15,0.77,0.041
C3,48,15,0.756,0.059
C3,48,15,0.745,0.063
C3,48,15,0.756,0.04
C3,48,15,0.731,0.039
C3,48,15,0.79,0.061
C3,48,15,0.72,0.062
C3,48,15,0.758,0.042
C3,48,15,0.801,0.07
C3,48,15,0.781,0.072
C3,48,15,0.817,0.073
C3,48,15,0.735,0.061
C3,48,15,0.781,0.049
C3,48,15,0.819,0.06
C3,48,15,0.704,0.07
C3,48,15,0.704,0.066
C3,48,15,0.75,0.041
C3,48,15,0.743,0.074
C3,72,15,1.138,0.058
C3,72,15,1.112,0.064
C3,72,15,1.08,0.085
C3,72,15,1.193,0.104
C3,72,15,1.085,0.099
C3,72,15,1.17,0.096
